------------------------------- load model ----------------------------------
<tensorflow.python.keras.engine.functional.Functional object at 0x000001D5009E82C8>
episode:1 step:51 predict_action:[[0.00735635]] action:[[-0.00256341]] reward:[1.35141554]
episode:1 step:52 predict_action:[[0.0118498]] action:[[0.09927639]] reward:[1.31877817]
episode:1 step:53 predict_action:[[0.00820124]] action:[[-0.00129203]] reward:[1.34501981]
episode:1 step:54 predict_action:[[0.01694987]] action:[[-0.1674895]] reward:[1.30105342]
episode:1 step:55 predict_action:[[0.01349728]] action:[[-0.12751582]] reward:[1.29033248]
episode:1 step:56 predict_action:[[0.01007257]] action:[[0.20448758]] reward:[1.23677967]
episode:1 step:57 predict_action:[[0.00938013]] action:[[0.02610603]] reward:[1.26809839]
episode:1 step:58 predict_action:[[0.00834861]] action:[[0.09852947]] reward:[1.24990972]
episode:1 step:59 predict_action:[[0.01251636]] action:[[-0.04479492]] reward:[1.26602865]
episode:1 step:60 predict_action:[[0.01763294]] action:[[0.02894184]] reward:[1.2623014]
episode:1 step:61 predict_action:[[0.01102013]] action:[[0.0032802]] reward:[1.26248425]
episode:1 step:62 predict_action:[[0.00773413]] action:[[0.03016718]] reward:[1.24940145]
episode:1 step:63 predict_action:[[0.00325034]] action:[[0.0302672]] reward:[1.24552751]
episode:1 step:64 predict_action:[[0.00605493]] action:[[0.1261826]] reward:[1.22004787]
episode:1 step:65 predict_action:[[0.00374723]] action:[[0.15217382]] reward:[1.22360509]
episode:1 step:66 predict_action:[[-0.00342584]] action:[[0.04881898]] reward:[1.27227982]
episode:1 step:67 predict_action:[[-0.00636345]] action:[[0.06965297]] reward:[1.28349952]
episode:1 step:68 predict_action:[[-0.09105075]] action:[[-0.03676127]] reward:[1.30581347]
episode:1 step:69 predict_action:[[-0.17803615]] action:[[-0.36479038]] reward:[1.23034831]
episode:1 step:70 predict_action:[[-0.02547192]] action:[[-0.11050255]] reward:[1.28118546]
episode:1 step:71 predict_action:[[-0.02087736]] action:[[0.08175744]] reward:[1.26372454]
episode:1 step:72 predict_action:[[-0.05274548]] action:[[-0.19400948]] reward:[1.23297363]
episode:1 step:73 predict_action:[[0.01576843]] action:[[-0.08821923]] reward:[1.24861006]
episode:1 step:74 predict_action:[[0.00187256]] action:[[0.06154867]] reward:[1.23082289]
episode:1 step:75 predict_action:[[-0.00532896]] action:[[0.02465334]] reward:[1.23221106]
episode:1 step:76 predict_action:[[0.00822721]] action:[[0.02987177]] reward:[1.2288054]
episode:1 step:77 predict_action:[[-0.01259544]] action:[[-0.10137987]] reward:[1.20959054]
episode:1 step:78 predict_action:[[-0.04947606]] action:[[-0.12625858]] reward:[1.18706673]
episode:1 step:79 predict_action:[[0.00601105]] action:[[0.03689043]] reward:[1.18098181]
episode:1 step:80 predict_action:[[0.01076809]] action:[[0.14158845]] reward:[1.13695616]
episode:1 step:81 predict_action:[[0.01446771]] action:[[0.05477617]] reward:[1.16442177]
episode:1 step:82 predict_action:[[-0.15773217]] action:[[-0.09094933]] reward:[1.16145949]
episode:1 step:83 predict_action:[[0.0937318]] action:[[0.04691114]] reward:[1.17665906]
episode:1 step:84 predict_action:[[0.17744878]] action:[[0.2250931]] reward:[1.13686566]
episode:1 step:85 predict_action:[[0.21621361]] action:[[0.12615812]] reward:[1.18269922]
episode:1 step:86 predict_action:[[0.29196903]] action:[[0.24396938]] reward:[1.18256142]
episode:1 step:87 predict_action:[[0.21223791]] action:[[0.10066663]] reward:[1.25883518]
episode:1 step:88 predict_action:[[0.3090896]] action:[[0.30514774]] reward:[1.24607973]
episode:1 step:89 predict_action:[[0.16438912]] action:[[0.17469028]] reward:[1.32495447]
episode:1 step:90 predict_action:[[0.3074262]] action:[[0.5280209]] reward:[1.25478553]
episode:1 step:91 predict_action:[[0.14060697]] action:[[0.03824856]] reward:[1.30130438]
episode:1 step:92 predict_action:[[0.21246491]] action:[[0.33997005]] reward:[1.13496339]
episode:1 step:93 predict_action:[[0.11425326]] action:[[0.16332762]] reward:[1.09270206]
episode:1 step:94 predict_action:[[0.08638847]] action:[[0.03793477]] reward:[-10]
Training  | Episode: 2/10000  | Episode Reward: 108.6581  | Running Time: 35.0302
episode:2 step:1 predict_action:[[0.02372196]] action:[[0.10837377]] reward:[1.38710933]
episode:2 step:2 predict_action:[[0.02372196]] action:[[0.07177695]] reward:[1.3962617]
episode:2 step:3 predict_action:[[-0.00305656]] action:[[0.0615712]] reward:[1.38874225]
episode:2 step:4 predict_action:[[-0.6444285]] action:[[-0.52226245]] reward:[1.25208045]
episode:2 step:5 predict_action:[[-0.5266005]] action:[[-0.47128975]] reward:[1.26160985]
episode:2 step:6 predict_action:[[0.56355]] action:[[0.41261697]] reward:[1.28887145]
episode:2 step:7 predict_action:[[0.37407756]] action:[[0.28736895]] reward:[1.22748448]
episode:2 step:8 predict_action:[[0.7216807]] action:[[0.7593688]] reward:[1.08146742]
episode:2 step:9 predict_action:[[0.6847459]] action:[[0.71823865]] reward:[1.14329895]
episode:2 step:10 predict_action:[[0.5441228]] action:[[0.4519111]] reward:[1.26915196]
episode:2 step:11 predict_action:[[0.06727409]] action:[[-0.08087494]] reward:[1.18610761]
episode:2 step:12 predict_action:[[-0.93592346]] action:[[-0.6711892]] reward:[-10]
Training  | Episode: 3/10000  | Episode Reward: 3.8822  | Running Time: 44.0220
episode:3 step:1 predict_action:[[0.05532958]] action:[[-0.02103252]] reward:[1.30636696]
episode:3 step:2 predict_action:[[0.05822341]] action:[[-0.08903532]] reward:[1.28617342]
episode:3 step:3 predict_action:[[0.08489624]] action:[[0.07666824]] reward:[1.27341929]
episode:3 step:4 predict_action:[[0.09157191]] action:[[0.07682129]] reward:[1.26786939]
episode:3 step:5 predict_action:[[0.07817612]] action:[[-0.02860491]] reward:[1.29095639]
episode:3 step:6 predict_action:[[0.13683489]] action:[[0.04770871]] reward:[1.28810054]
episode:3 step:7 predict_action:[[0.04824891]] action:[[0.08498151]] reward:[1.28421057]
episode:3 step:8 predict_action:[[0.0361328]] action:[[0.0462137]] reward:[1.3084282]
episode:3 step:9 predict_action:[[0.04377348]] action:[[0.03970807]] reward:[1.32242436]
episode:3 step:10 predict_action:[[0.04209858]] action:[[-0.05799641]] reward:[1.32601363]
episode:3 step:11 predict_action:[[0.04066136]] action:[[0.16598246]] reward:[1.30108385]
episode:3 step:12 predict_action:[[0.02757173]] action:[[-0.0693486]] reward:[1.32561464]
episode:3 step:13 predict_action:[[0.03178471]] action:[[0.00600265]] reward:[1.33642027]
episode:3 step:14 predict_action:[[0.02959512]] action:[[0.09905301]] reward:[1.30793608]
episode:3 step:15 predict_action:[[0.02784607]] action:[[0.13329908]] reward:[1.2838141]
episode:3 step:16 predict_action:[[0.03093974]] action:[[-0.05662648]] reward:[1.2720516]
episode:3 step:17 predict_action:[[0.04752354]] action:[[0.05762599]] reward:[1.25112702]
episode:3 step:18 predict_action:[[0.02732157]] action:[[-0.0708905]] reward:[1.22507881]
episode:3 step:19 predict_action:[[0.13157304]] action:[[0.11592129]] reward:[1.19905581]
episode:3 step:20 predict_action:[[0.01972963]] action:[[-0.04090969]] reward:[1.19126094]
episode:3 step:21 predict_action:[[0.07578191]] action:[[0.01222917]] reward:[1.17457647]
episode:3 step:22 predict_action:[[0.77634543]] action:[[0.85000527]] reward:[0.9421166]
episode:3 step:23 predict_action:[[0.03895103]] action:[[0.02026075]] reward:[1.10534416]
episode:3 step:24 predict_action:[[0.987045]] action:[[0.6669724]] reward:[0.889595]
episode:3 step:25 predict_action:[[0.05528991]] action:[[0.07441139]] reward:[0.97604596]
episode:3 step:26 predict_action:[[0.761931]] action:[[0.76031697]] reward:[-10]
Training  | Episode: 4/10000  | Episode Reward: 20.7351  | Running Time: 57.4730
episode:4 step:1 predict_action:[[0.03988141]] action:[[-0.03507397]] reward:[1.33482102]
episode:4 step:2 predict_action:[[0.05021787]] action:[[0.06457841]] reward:[1.32617126]
episode:4 step:3 predict_action:[[0.05827406]] action:[[0.07512308]] reward:[1.32465098]
episode:4 step:4 predict_action:[[0.0789897]] action:[[0.06429755]] reward:[1.32789644]
episode:4 step:5 predict_action:[[0.04713874]] action:[[0.10603984]] reward:[1.31114083]
episode:4 step:6 predict_action:[[0.03999541]] action:[[0.02772162]] reward:[1.31091768]
episode:4 step:7 predict_action:[[0.03644692]] action:[[0.03436989]] reward:[1.28539312]
episode:4 step:8 predict_action:[[0.03669937]] action:[[0.01781475]] reward:[1.26402243]
episode:4 step:9 predict_action:[[0.15585501]] action:[[0.2164894]] reward:[1.18823867]
episode:4 step:10 predict_action:[[0.03792833]] action:[[0.02860994]] reward:[1.18900752]
episode:4 step:11 predict_action:[[0.3161103]] action:[[0.32605368]] reward:[1.06163617]
episode:4 step:12 predict_action:[[0.08900784]] action:[[0.07663868]] reward:[1.05831032]
episode:4 step:13 predict_action:[[0.03081323]] action:[[0.16262224]] reward:[-10]
Training  | Episode: 5/10000  | Episode Reward: 4.9822  | Running Time: 66.7919
episode:5 step:1 predict_action:[[0.01851132]] action:[[0.0997185]] reward:[1.38928394]
episode:5 step:2 predict_action:[[0.0171337]] action:[[0.18280093]] reward:[1.36641837]
episode:5 step:3 predict_action:[[0.01647258]] action:[[0.06985685]] reward:[1.37265914]
episode:5 step:4 predict_action:[[0.01359827]] action:[[-0.05614702]] reward:[1.34843718]
episode:5 step:5 predict_action:[[0.01547462]] action:[[-0.06935834]] reward:[1.33518789]
episode:5 step:6 predict_action:[[0.01805947]] action:[[0.05757614]] reward:[1.34117393]
episode:5 step:7 predict_action:[[0.01627393]] action:[[0.01499944]] reward:[1.34185579]
episode:5 step:8 predict_action:[[0.01805357]] action:[[-0.04422741]] reward:[1.32097838]
episode:5 step:9 predict_action:[[0.01858223]] action:[[-0.05516981]] reward:[1.3147357]
episode:5 step:10 predict_action:[[0.01731558]] action:[[0.08923179]] reward:[1.30943937]
episode:5 step:11 predict_action:[[0.0123118]] action:[[0.09502143]] reward:[1.29608976]
episode:5 step:12 predict_action:[[0.01084468]] action:[[0.02724698]] reward:[1.28850962]
episode:5 step:13 predict_action:[[0.00012127]] action:[[0.06601296]] reward:[1.25926587]
episode:5 step:14 predict_action:[[0.02671877]] action:[[-0.03463771]] reward:[1.24412182]
episode:5 step:15 predict_action:[[0.01821878]] action:[[-0.03902026]] reward:[1.22973723]
episode:5 step:16 predict_action:[[0.01736035]] action:[[0.02712491]] reward:[1.22609129]
episode:5 step:17 predict_action:[[0.01642551]] action:[[0.13786632]] reward:[1.18454318]
episode:5 step:18 predict_action:[[0.02228894]] action:[[-0.00299068]] reward:[1.18799245]
episode:5 step:19 predict_action:[[0.01930341]] action:[[-0.03202548]] reward:[1.15510704]
episode:5 step:20 predict_action:[[-0.01145126]] action:[[-0.09325761]] reward:[1.12550865]
episode:5 step:21 predict_action:[[-0.00920851]] action:[[-0.02194886]] reward:[1.1403035]
episode:5 step:22 predict_action:[[-0.0243002]] action:[[0.03739119]] reward:[1.12996078]
episode:5 step:23 predict_action:[[-0.08562891]] action:[[-0.10894147]] reward:[1.09392987]
episode:5 step:24 predict_action:[[-0.05998656]] action:[[0.01190975]] reward:[1.11384756]
episode:5 step:25 predict_action:[[-0.10883423]] action:[[-0.30586693]] reward:[1.03297081]
episode:5 step:26 predict_action:[[-0.02555714]] action:[[0.033964]] reward:[1.10990519]
episode:5 step:27 predict_action:[[-0.01834117]] action:[[-0.20243596]] reward:[1.08218906]
episode:5 step:28 predict_action:[[-0.00319385]] action:[[0.00182497]] reward:[1.14592152]
episode:5 step:29 predict_action:[[0.00400663]] action:[[0.19838446]] reward:[1.1120528]
